ALL SCHOOLS,ADDRESS,SCHOOL PD,original address,latitude,longitude,",",,,,,768928,103.8300549,1.4360948
ADMIRALTY PRIMARY SCHOOL,11 WOODLANDS CIRCLE,738907,11 WOODLANDS CIRCLE,36.002964,-84.915796,",",,,,,737916,103.8029081,1.44591185
ADMIRALTY SECONDARY SCHOOL,31 WOODLANDS CRESCENT,737916,31 WOODLANDS CRESCENT,1.445881,103.802398,",",,,,,768643,103.8327098,1.4338487
AHMAD IBRAHIM PRIMARY SCHOOL,10 YISHUN STREET 11,768643,10 YISHUN STREET 11,1.433543,103.832949,",",,,,,579646,103.8329367,1.3605246
AHMAD IBRAHIM SECONDARY SCHOOL,751 YISHUN AVENUE 7,768928,751 YISHUN AVENUE 7,1.436663,103.829889,",",,,,,159016,103.8240659,1.2912837
AI TONG SCHOOL,100 BRIGHT HILL DRIVE,579646,100 BRIGHT HILL DRIVE,1.360415,103.832615,",",,,,,738907,103.8003451,1.4429414
ALEXANDRA PRIMARY SCHOOL,2A Prince Charles Crescent,159016,2A Prince Charles Crescent,1.292299,103.823529,",",,,,,487012,103.9417577,1.3300645
ANCHOR GREEN PRIMARY SCHOOL,31 Anchorvale Drive,544969,31 Anchorvale Drive,1.390925,103.887407,",",,,,,569843,103.8457974,1.3791515
ANDERSON JUNIOR COLLEGE,4500 ANG MO KIO AVENUE 6,569843,4500 ANG MO KIO AVENUE 6,1.378043,103.845762,",",,,,,309919,103.8356591,1.31969675
ANDERSON PRIMARY SCHOOL,6 ANG MO KIO AVE 2 ,569948,6 ANG MO KIO AVE 2,1.376234,103.835799,",",,,,,544969,103.8865931,1.3917468
ANDERSON SECONDARY SCHOOL,10 ANG MO KIO STREET 53,569206,10 ANG MO KIO STREET 53,1.374262,103.851456,",",,,,,569948,103.8355498,1.37583935
ANG MO KIO PRIMARY SCHOOL,20 ANG MO KIO AVENUE 3 ,569920,20 ANG MO KIO AVENUE 3,1.368803,103.839266,",",,,,,569206,103.8517531,1.37541455
ANG MO KIO SECONDARY SCHOOL,6 ANG MO KIO STREET 22,569362,6 ANG MO KIO STREET 22,1.367353,103.8426,",",,,,,569920,103.8371921,1.3693686
ANGLICAN HIGH SCHOOL,600 UPPER CHANGI ROAD,487012,600 UPPER CHANGI ROAD,1.330302,103.941937,",",,,,,679697,103.7662588,1.3701112
ANGLO-CHINESE JUNIOR COLLEGE,25 DOVER CLOSE EAST,139745,25 DOVER CLOSE EAST,1.303305,103.785253,",",,,,,139745,103.7856243,1.3026072
ANGLO-CHINESE SCHOOL (BARKER ROAD),60 BARKER ROAD,309919,60 BARKER ROAD,42.441927,-73.270748,",",,,,,307516,103.8442032,1.325198
ANGLO-CHINESE SCHOOL (INDEPENDENT),121 DOVER ROAD,139650,121 DOVER ROAD,40.750488,-81.837377,",",,,,,538403,103.8826498,1.34065965
ANGLO-CHINESE SCHOOL (JUNIOR),16 WINSTEDT ROAD,227988,16 WINSTEDT ROAD,1.309454,103.841372,",",,,,,227988,103.8414047,1.3090244
ANGLO-CHINESE SCHOOL (PRIMARY),50 BARKER ROAD,309918,50 BARKER ROAD,42.441971,-73.270708,",",,,,,149059,103.8002657,1.3018946
ASSUMPTION ENGLISH SCHOOL,121 QUEENSWAY,149059,121 QUEENSWAY,1.302031,103.800263,",",,,,,419612,103.91022,1.33481335
